timestamp	web_url	cid	did	text
2025-04-27T15:02:12	https://bsky.app/profile/avacado12.bsky.social/post/3lnnkitkwwc2q	bafyreihlr5aitx3jnhkapetludjgttpnsujqyb5pbn55abp7je32zq64wa	did:plc:grle7y3z5x7il7f3cu3tyi4l	Not all AIs are language models or art thieves.  AI has helped map proteins.  AI has helped the (astronomical) workload in astronomy.  It’s doing some things that humans can do, but it’s also doing things humans can’t do, because they’re too tedious.  Science communicators might care about that.
2025-04-27T15:08:18	https://bsky.app/profile/docvivileandra.bsky.social/post/3lnsjp7uxpc2g	bafyreif6hx4wzbumpyrzgq6rnp6xjvqyud45gzy7maevcdv2k3s4wnqz2y	did:plc:wbrnpfl7uqepxav4cuvvqzto	Thank you! I've been disaffected with LLMs for a long time, largely due to working in another area of AI research (specialized models for biomolecular predictions, like protein folding) that has found itself choked of funding by the LLM hype.
2025-04-28T03:56:14	https://bsky.app/profile/mmbronstein.bsky.social/post/3lntihfnkts2g	bafyreieq7e33z3phb6i2fjbz267xugtcsfdxf47li6owmqvpqr2slzqvh4	did:plc:7y33ztezbpsj5kymqgugwvrf	"I don't think anyone was ""pushed"" towards generative AI: the progress in the past years has been akin to science fiction. I in particular work on generative models for life science that will make drug discovery faster and cheaper. Not sure how this is ""capitalism not paying people""--we do pay well."
2025-04-28T07:09:30	https://bsky.app/profile/alsyaya.bsky.social/post/3lnu4wzidf22z	bafyreihrnv6m5lszgzjmiuapumogzg56whhofjncthg7qfp7rz3bizk4gq	did:plc:nhk35fgrfyc273wmcpa7vqd2	"I've seen it referred to as an ""LLM for protein"" to help people conceptualize it but you're right it's not an LLM"
2025-04-28T07:10:27	https://bsky.app/profile/evilfred.bsky.social/post/3lnu4i7rmbs2d	bafyreifhxufuwwdjlttg6om6tisgtnxbzgbhu7av4ko4r5doafsermo4eu	did:plc:imjzvvvae7dxtlvclka3ehgz	AlphaFold did not use LLMs, proteins are not based on language
2025-04-28T07:10:54	https://bsky.app/profile/kevinriggle.bsky.social/post/3lnu4mjfypk22	bafyreidznomc5un7225c6hhcdjbucihjesg5jbnicmlotto4mipxobidme	did:plc:glr7ssctpnytxa5ch2yislay	This. Also, bio is very much not my area, but my friends who are bio people caution me that the AlphaFold result, while very impressive, does not mean that protein folding is, uh, “solved”. E.g.  en.m.wikipedia.org/wiki/AlphaFo...
2025-04-28T22:05:29	https://bsky.app/profile/git-advertiser.bsky.social/post/3lnvoufnsrs2u	bafyreiczhu5jgzm4w4472nyz6jcbjyv35fbgucp3n6meegqdwkhkfi5nse	did:plc:symxk23ddhd4ol7gcqxsthlp	📈🤖 Efficient Budget Allocation for Large-Scale LLM-Enabled Virtual Screening Screening tasks that aim to identify a small subset of top alternatives from a large pool are common in business decision-making processes. These tasks often require substantial human  https://arxiv.org/abs/2408.09537
2025-04-28T22:05:45	https://bsky.app/profile/git-advertiser.bsky.social/post/3lnvp66tp2e22	bafyreih3azxlielad2ntgo6xj4bf662lpmjtvyqcv2cy34kyuyzwpwrwki	did:plc:symxk23ddhd4ol7gcqxsthlp	https://arxiv.org/abs/2408.09537  📈🤖 Efficient Budget Allocation for Large-Scale LLM-Enabled Virtual Screening Screening tasks that aim to identify a small subset of top alternatives from a large pool are common in business decision-making processes. These tasks often require substantial human
2025-04-28T22:05:59	https://bsky.app/profile/git-advertiser.bsky.social/post/3lnvq6tdinh22	bafyreibojukuud7jxw65nrvcmly2s6wy2mn56s3jd5do2x7vjymnxlu5my	did:plc:symxk23ddhd4ol7gcqxsthlp	📈🤖 Efficient Budget Allocation for Large-Scale LLM-Enabled Virtual Screening Screening tasks that aim to identify a small subset of top alternatives from a large pool are common in business decision-making processes. These tasks often require substantial human effort to evaluate each  link
2025-04-28T22:06:14	https://bsky.app/profile/git-advertiser.bsky.social/post/3lnvr3xgxfr2b	bafyreicjzfrt5spbq32enhqpjlojqlaadef5hhq7yut5yctbz66q3wbu6i	did:plc:symxk23ddhd4ol7gcqxsthlp	📈🤖 Efficient Budget Allocation for Large-Scale LLM-Enabled Virtual Screening. Li, Fan, and Hong. Screening tasks that aim to identify a small subset of top alternatives from a large pool are common in business decision-making processes. These tasks often require substantial human effort to  link
2025-04-28T22:06:44	https://bsky.app/profile/git-advertiser.bsky.social/post/3lnvrazoyzb2k	bafyreih2bxou4vejxnb6dcu2deb6hjhtzhvow4o2sv27gdhshg3lrmubhi	did:plc:symxk23ddhd4ol7gcqxsthlp	📈🤖 Efficient Budget Allocation for Large-Scale LLM-Enabled Virtual Screening. Li, Fan, and Hong. Screening tasks that aim to identify a small subset of top alternatives from a large pool are common in business decision-making processes. These tasks often require substantial human effort to  link
2025-04-28T22:07:04	https://bsky.app/profile/git-advertiser.bsky.social/post/3lnvqnqnozv2c	bafyreia3wzbankp36zrit3gx743jxsdlpoptjhbdabobtztpptloff3b4q	did:plc:symxk23ddhd4ol7gcqxsthlp	📈🤖 Efficient Budget Allocation for Large-Scale LLM-Enabled Virtual Screening. Screening tasks that aim to identify a small subset of top alternatives from a large pool are common in business decision-making processes. These tasks often require substantial human effort to evaluate each  link
2025-04-28T22:29:19	https://bsky.app/profile/git-advertiser.bsky.social/post/3lnvppujgk42f	bafyreidqhmh2qhmingvubb4bcxtdeeqfhaicom7g5clsezos3xqpipf6oi	did:plc:symxk23ddhd4ol7gcqxsthlp	📈🤖 Efficient Budget Allocation for Large-Scale LLM-Enabled Virtual Screening Screening tasks that aim to identify a small subset of top alternatives from a large pool are common in business decision-making processes. These tasks often require substantial human  https://arxiv.org/abs/2408.09537
2025-04-28T22:29:26	https://bsky.app/profile/git-advertiser.bsky.social/post/3lnvsfayerg2u	bafyreidpkncyuwg2k4r5l6foepofsoog5yxfgwn3coustn3fryfkbxou5e	did:plc:symxk23ddhd4ol7gcqxsthlp	📈🤖 Efficient Budget Allocation for Large-Scale LLM-Enabled Virtual Screening. Li, Fan, and Hong. Screening tasks that aim to identify a small subset of top alternatives from a large pool are common in business decision-making processes. These tasks often require substantial human effort to  link
2025-04-29T04:45:46	https://bsky.app/profile/git-advertiser.bsky.social/post/3lnwasjqyug2z	bafyreiaqbnkdcs4ay23i6w72bvhtxocntuubvsubstwstve74efvy4gaem	did:plc:symxk23ddhd4ol7gcqxsthlp	📈🤖 Efficient Budget Allocation for Large-Scale LLM-Enabled Virtual Screening. Li, Fan, and Hong. Screening tasks that aim to identify a small subset of top alternatives from a large pool are common in business decision-making processes. These tasks often require substantial human effort to  link
2025-04-29T04:45:51	https://bsky.app/profile/git-advertiser.bsky.social/post/3lnwe5burfc2z	bafyreies7kkdpwnm5d5l5a7nj4qr4p3f7uitolzg4aooe6at7bxdv6g6eu	did:plc:symxk23ddhd4ol7gcqxsthlp	📈🤖 Efficient Budget Allocation for Large-Scale LLM-Enabled Virtual Screening. Li, Fan, and Hong. Screening tasks that aim to identify a small subset of top alternatives from a large pool are common in business decision-making processes. These tasks often require substantial human effort to  link
2025-04-30T13:49:15	https://bsky.app/profile/incognitonitto.bsky.social/post/3lnzsmkxbvc2f	bafyreiaaaqlpb7zxtwj76yj76hsafxd5bofka2igtokqjiewckvgweuhhe	did:plc:ip7jj3b4k622ujp7cvg6hsqa	I've seen a thread about generating images of protein structures but I think it's more about machine learning  than LLMs
2025-04-30T13:49:42	https://bsky.app/profile/roenok.bsky.social/post/3lnzqimsdvs2n	bafyreidzy2pijjwyl365lk7z7uzhlbcxn4wenoonx3cmcmppwarkusak6q	did:plc:dl33fw2hkbotc7krviigxzye	Machine learning can, in fact, be very useful for analyzing huge datasets, from folding proteins to traffic management.  GenAI in the form of large language models like ChatGPT can write you a terrible white paper about traffic management with bad ideas and hallucinated references.
2025-04-30T13:50:36	https://bsky.app/profile/tempestarubida.bsky.social/post/3lnzd3iij3s2d	bafyreiagdttav53ap74dvswif7422d7m4lfbztch5dgke3zfm64pviizue	did:plc:hrrtyes2yfobdnlaaarztaq5	"This is a motte-and-bailey fallacy based on the colloquial usage of the word ""AI"" to refer to both machine learning models in general, and generative models such as ChatGPT. The latter is what everyone else here is talking about. To my knowledge, no LLM has ever folded a protein in its life."
2025-04-30T17:45:09	https://bsky.app/profile/andrewlindsey.bsky.social/post/3lo2cne2cy22s	bafyreihjckqlsnew7556hau54bhghpoeqshopnzjkhwefef4gsyi3nlj2u	did:plc:wcrfrdjjvpzvi5ano5lydxtd	Take a look at how AI is advancing things in science too; I expect that it'll help take care of those problems.  Physics and medical imaging come to mind, and the AlphaFold series that helped with protein-folding.   It's refreshing to find someone with a reasoned and sensible approach to this.
2025-05-01T03:01:48	https://bsky.app/profile/keithbostic.bsky.social/post/3lo2zlyktok2w	bafyreibpsgjasckjg2mj7ckqpogcgenop6mx4lgdve7s56j7slg2b3fgp4	did:plc:7ccqv25iowzgbu7sj77uxcos	I chose protein folding specifically, it's an LLM using gen/AI.  Interestingly enough, you'd think radiology is ML alone, right? Well, no, it turns out that if you have a crappy image, gen/AI is how you make it better.
2025-05-01T14:13:41	https://bsky.app/profile/kesselrunner528.bsky.social/post/3lo3wqxlnlc2s	bafyreiaudjsf6eblwmsyzswkiuir3d7ugezbrwwoncx533bbpwgttaupme	did:plc:jp74hqi2fcokzblgm2rhiyur	Protein folding does not work with LLM
2025-05-01T14:14:39	https://bsky.app/profile/longstoys.bsky.social/post/3lo3clno62c24	bafyreihef6ch6ezaf6nhu2rp6mkqeevgcerh2qfxnnuxscfvzq6mwpqxai	did:plc:bigjkzmchwmqr2gtwcpormu3	New Video! WKS-01 Optimus Prime & Light Long Wild Docking Set Review - Transformers Wild King youtu.be/UT1z0T45ye4 #Transformers
2025-05-01T20:54:25	https://bsky.app/profile/palecur.bsky.social/post/3lo5424r54c2b	bafyreibh7x66yh5nfq6zu5kys6pfe7nwo22egnr6hvwiymwroi3tq227eu	did:plc:hrbrdssmc5qc5ll6x3r5b2wx	it absolutely is! it is a signal about the limitations of expertise in the main. protein folding, for instance, is an absolute textbook case of the sort of limited and well defined domain an LLM can excel in. in no way does that generalize to human communication or 'intelligence' however defined.
2025-05-01T20:54:50	https://bsky.app/profile/spider-father.bsky.social/post/3lo4yxhxqhs2e	bafyreid2agri3h5clf5xxrpmx5mkelmgtgxrjzsqczncvda5l7sx745gwi	did:plc:oilzsqg5v66vtr3pqpydjbq3	Lightlong converts into a giraffe, and his conversion is similar to most other Energy Beasts. As with Optimus, he lacks swivel joints but is articulated everywhere except his neck.  Lightlong can form an arm or a leg. Optimus's forearms can be stored in his legs while docking.   #Transformers
2025-05-01T20:55:14	https://bsky.app/profile/keithbostic.bsky.social/post/3lo4vljyu4k2b	bafyreied3qcumllxzkahjz4nosaut72g2xoeifmzq2s5nc7c43qheyo3yu	did:plc:7ccqv25iowzgbu7sj77uxcos	I was wrong: AlphaFold is not an LLM, I should not have used it as an example.  But I think you're wrong in the larger case: protein folding is using LLMs, for example, ESMFold and ESM-2 are both LLM engines.  www.biorxiv.org/content/10.1...
2025-05-01T20:55:40	https://bsky.app/profile/dystopiabreaker.xyz/post/3lo4zbnh4hk2d	bafyreiay5vcvtklqxspa26cl7v6wvj7syygrtp4gn2h3lscekg7bqvabsi	did:plc:dimjrgeatypdz72m4okacmrt	the winners of the physics and chemistry nobels were Geoffrey Hinton, for his work on pioneering early neural network/backpropagation work (foundational), and Demis Hassabis, the CEO of DeepMind for his work on AlphaFold which gave us practical protein prediction
2025-05-01T20:55:58	https://bsky.app/profile/spider-father.bsky.social/post/3lo4yocvc4k2e	bafyreiap5dwv2i6g2mw3tdshpukm72g2jrizsgtkt6w56pqc5ni4djarne	did:plc:oilzsqg5v66vtr3pqpydjbq3	Wild King Optimus Prime with Lightlong Energy Docking Set.  Takara's new kid oriented Transformers line is here, and man, it's an interesting beast. The line gimmick is Energy Docking, which is a fancy form of combining in the scramble city vein.  #Transformers
2025-05-01T20:56:16	https://bsky.app/profile/sol-cantus.bsky.social/post/3lo4xz63o6h2z	bafyreideb5b3cgi3jvobgxxwqriv55ksetz7zkvyjm3fntryioe4bzo6ca	did:plc:vvcchga3thsaeilrmclqvmbw	AI that can't hallucinate may be able to assist with certain extremely complex projects like protein folding (en.wikipedia.org/wiki/AlphaFold), but it should NEVER replace the need to carefully read and learn from new information. It should also ALWAYS be checked against real life.
2025-05-02T03:11:25	https://bsky.app/profile/longstoys.bsky.social/post/3lo5s7ho4sc26	bafyreiflykr5r35i26gglg64rztquz2tpgmy622vqpctf3jccte2azfeqi	did:plc:bigjkzmchwmqr2gtwcpormu3	New Video! WKS-02 Megatron & Captain Volca Wild Docking Set Review - Transformers Wild King youtu.be/UnKpnPkE-2w #Transformers
2025-05-02T17:45:45	https://bsky.app/profile/ericpanzer.bsky.social/post/3lo7dizdq5k2p	bafyreif6nxzrl56xlculkdmo6u4atadm5blmkyeumybwgptts5iolqk6yq	did:plc:xt5xxgattditstu4gxjqyh6i	And AI is already helping cure diseases. Alpha fold solved the protein folding problem essentially, and AI is proving incredibly helpful for drug development and diagnostics   Additionally, it's a bit of a pedantic point, but machine learning is by definition AI
2025-05-02T17:46:30	https://bsky.app/profile/cjpberry.bsky.social/post/3lo7bt6zxjk2n	bafyreibsobsiwb6hgem4px7fdpnujq666bpvzsbqi2ogsts2dlqyv7kga4	did:plc:bviwv2i7srccke2dj44p2xlj	Something meta-meta.  So — I don’t use LLM to author an email. No. That’s me. You can tell because of the email address, signature and fingerprints. This is a non-binding expectation. In other words, I am in no way harmed by a LLM generated email from a human titled email.  You do you.  1/3
2025-05-02T17:46:43	https://bsky.app/profile/cuddlessmash.bsky.social/post/3lo77oolde22l	bafyreiamny7pw2g6f3cag2sm2skwn223kj35f2ciidbfawoa2tjthyzvlq	did:plc:2fee3ewrtwkpm3lksk2zvoj7	I've let my computer do enough protein folding simulations to not dismiss it out of hand but OpenAI trying to have chatgpt do advertising in a desperate attempt to build stakeholder value really ain't it.  LLM search tools have AskJeeves as an ancestor, and that lost to Google for good reason
2025-05-02T22:52:59	https://bsky.app/profile/vidushi-dyall.bsky.social/post/3lo7tn3nbyy2p	bafyreihrdjuwguxs64j2rlhbrwdyz2sc6rbc3f6e7yqkx52cujnue42tjy	did:plc:loy4h6pvk25j5f53wx26xoj4	Another initiative is Isomorphic Labs, which aims to cure all diseases using AI in drug discovery. It has a $100 billion value.
2025-05-03T00:20:12	https://bsky.app/profile/vidushi-dyall.bsky.social/post/3lo7tn3i25l26	bafyreiaizc4yyshzvmqwiq2nx3xe3b56dfcyhppsh55jlfozx553amezoq	did:plc:loy4h6pvk25j5f53wx26xoj4	Google and DeepMind have a long history of pioneering work in LLMs. The CEO of Deep Mind is a Nobel prize recipient.  Google and DeepMind's AI work includes AlphaFold, which solved a 50-year challenge on protein fold predictions.
2025-05-03T13:55:12	https://bsky.app/profile/fahad-abalkhail.bsky.social/post/3lob4t6sho22i	bafyreiawqlhz5rabrjcidlxqt3jhc3eccras7mtqudnz25c6u5ynwgu7n4	did:plc:nv456kd27cdsl7yvvnosobng	3/ Target Discovery AI sifts through genomics, proteins, EHRs, and scientific papers.  Example: Atomwise Their platform AtomNet screens billions of compounds in days, not years.
2025-05-03T16:30:26	https://bsky.app/profile/leithmotive.bsky.social/post/3loazgi27mk2c	bafyreib6zu5unxarfdbg3utsrgmd5hhyjibyha6hh3nqgwxxcnksmnbvki	did:plc:3hf5quw7arjiztbaact3v7u6	I align with Sean on the importance of distinguishing between very different computational methods. Research is sped up because of things like AlphaFold but there's good reason to think that protein structure is the easy problem for that kind of AI to solve (and it's notoriously difficult).
2025-05-04T13:02:28	https://bsky.app/profile/chelseachemist1.bsky.social/post/3lodf4gqhf22x	bafyreif5hmm2ptxote3nhm34xqueaueffr6appdboknmkf4xhdx36zwleu	did:plc:ts752z2jg5db35xybf3o3ugb	I mean AI will save healthcare, but not in the way these people think, Alphafold from DeepMind is simply stunning when you think that the vast majority of disease fundamentally comes down to defective proteins
2025-05-04T23:14:57	https://bsky.app/profile/tedunderwood.me/post/3loexbuoy3s23	bafyreiftvabyofp57ijh265wy556of45ohxsooqefmqwbj3qt7llrvesge	did:plc:565ebob5f6hw33hjdkxty6qj	I think (or assume, or hope) he's trying to say that transformers have some valid uses for, like, proteins. He just hates it when they're applied to human language.  I still think that's a weird distinction, but it's weirdly arbitrary rather than straight-up misinformed.
2025-05-04T23:15:07	https://bsky.app/profile/justinschuh.com/post/3loer2ogtrc2l	bafyreie4bqy2liqleyoni3diswf5iwzc7ywdp62tgwq4ufhdxbshltpmkq	did:plc:l3efsnzegvrsoek3tr2lknal	"Protein folding was solved with an LLM and won the researchers a Nobel prize. I'm no fan of ""AI"" chatbots and generated content slop like this (which is, to be pedantic, not LLM output). But I also can't ignore the huge advances being made by employing generative models in the hard sciences."
